Employee ID;Age;Gender;Education;Job Role;Monthly Income;Work-Life Balance;Job Satisfaction;Performance Rating;Number of Projects;Overtime;Distance From Home;Education Category;Marital Status;Num Job Switches;Company Size;Company Level;Remote Work;Leadership Skill;Innovation Skill;Company Relationship;Employee Involvement;Attrition
8410;31;Male;4;Education;5390;Excellent;Medium;2;;No;22;Associate C;Married;0;Mid;Medium;89;No;No;No;Good;Left
29672;30;Female;4;Education;6979;Poor;High;1;;No;21;MasterM;Divorced;3;Mid;Medium;23;No;No;No;Fair;Stayed
64756;29;Female;4;Media;8559;Poor;High;3;;No;21;MasterM;Divorced;3;Mid;Medium;21;No;No;No;Fair;Stayed
60501;36;Female;4;Education;713;High;High;1;;No;71;Associate C;Married;1;Mid;Small;50;No;No;No;Poor;Left
65026;36;Male;7;Education;3989;Good;High;1;;No;27;High School;Single;2;Mid;Small;50;No;No;No;Good;Stayed
16405;41;Female;7;Healthcare;4851;Fair;Very High;1;;No;71;High School;Divorced;0;Senior;Medium;68;No;No;No;Good;Stayed
33430;21;Male;11;Finance;6302;Poor;High;0;;No;19;MasterM;Married;0;Senior;Small;61;No;No;No;Good;Left
64970;30;Male;23;Education;10937;Fair;High;1;;Yes;75;High School;Married;0;Entry;Small;84;No;No;No;Good;Left
36999;48;Male;39;Finance;11231;Excellent;Very High;High;1;;No;5;MasterM;Married;4;Entry;Medium;88;No;No;No;Excellent;Left
17730;28;Male;3;Technology;9561;Good;Medium;2;;Yes;69;High School;Married;0;Entry;Medium;79;No;No;No;Fair;Stayed
16494;44;Female;24;Healthcare;9833;Poor;High;1;;Yes;57;PhD;Single;0;Entry;Large;0;No;No;No;Good;Left
29872;30;Female;12;Education;5463;Good;High;1;;No;51;High School;Single;1;Entry;Small;0;No;No;No;Good;Stayed
2801;43;Female;8;Technology;908;Poor;Average;1;;No;39;MasterM;Single;0;Entry;Small;0;No;No;No;Poor;Stayed
14996;47;Female;2;Technology;6359;Fair;Very High;1;;No;9;MasterM;Divorced;1;Entry;Small;0;No;No;No;Good;Left
28098;31;Male;22;Healthcare;800;Fair;Medium;1;;No;30;Associate C;Divorced;2;Mid;Small;0;No;No;No;Good;Stayed
22864;49;Female;9;Technology;8050;Good;High;1;;No;88;High School;Single;0;Mid;Large;0;No;No;No;Good;Stayed
57096;26;Female;17;Media;6523;Good;High;2;;Yes;28;BachelorM;Single;0;Entry;Small;23;Yes;No;No;Good;Left
55668;19;Female;3;Technology;8242;Excellent;Medium;2;;No;17;High School;Single;3;Mid;Small;0;No;No;No;Fair;Stayed
19334;33;Female;1;Finance;8753;Good;High;0;;No;88;High School;Single;0;Mid;Small;0;No;No;No;High;Stayed
46506;23;Male;2;Media;809;Fair;High;1;;No;23;High School;Divorced;1;Senior;Medium;0;No;No;No;Good;Stayed
29697;36;Male;9;Healthcare;7538;Fair;Medium;0;;No;10;BachelorM;Married;0;Senior;Small;0;No;No;No;Good;Stayed
17009;51;Female;41;Finance;8753;Good;High;2;;No;18;MasterM;Divorced;3;Mid;Small;0;No;No;No;Good;Stayed
18398;37;Male;11;Education;1012;Fair;High;0;;No;0;MasterM;Married;0;Entry;Medium;0;No;No;No;Good;Left
58084;39;Female;1;Finance;8079;Excellent;High;1;;No;1;MasterM;Single;0;Entry;Medium;0;No;No;No;Good;Left
24208;34;Male;13;Media;5874;Fair;High;0;;No;1;High School;Single;1;Mid;Medium;0;No;No;No;Good;Left
14713;41;Male;5;Education;4061;Good;Medium;0;;No;1;Associate C;Married;0;Entry;Medium;0;No;No;No;Good;Left
14748;48;Male;1;Education;7807;Fair;High;1;;No;92;Associate C;Divorced;0;Entry;Medium;0;No;No;No;Good;Left
13194;23;Male;13;Technology;12507;Fair;High;2;;No;1;High School;Single;1;Mid;Medium;0;Yes;Yes;No;Good;Stayed
69511;43;Male;13;Technology;7393;Good;Medium;1;;Yes;1;BachelorM;Single;1;Entry;Small;67;No;No;No;Fair;Stayed
11485;48;Male;1;Education;7233;Good;Medium;0;;Yes;1;BachelorM;Married;0;Senior;Medium;0;No;No;No;Fair;Stayed
68576;45;Female;34;Finance;8330;Excellent;High;0;;Yes;1;BachelorM;Married;4;Mid;Medium;91;Yes;No;No;Good;Stayed
28636;24;Male;11;Healthcare;8056;Good;High;2;;No;55;BachelorM;Divorced;2;Senior;Small;0;No;No;No;Excellent;Stayed
24884;32;Male;1;Education;5601;Poor;Medium;1;;No;1;Associate C;Married;0;Entry;Small;0;No;No;No;Poor;Stayed
29641;53;Male;44;Healthcare;7384;Poor;Medium;0;;No;1;Associate C;Married;0;Mid;Small;0;No;No;No;Good;Left
65026;36;Male;7;Education;5050;Good;High;1;;No;27;High School;Single;2;Entry;Medium;0;No;No;No;Excellent;Left
17737;28;Male;3;Technology;9561;Good;Medium;2;;No;69;High School;Married;0;Entry;Medium;0;No;No;No;Fair;Stayed
